support,itemsets
0.011716989634970707,frozenset({'...and you will know us by the trail of dead'})
0.029743127534925643,frozenset({'2pac'})
0.027039206849932402,frozenset({'3 doors down'})
0.030193780982424517,frozenset({'30 seconds to mars'})
0.013068949977467327,frozenset({'311'})
0.02568724650743578,frozenset({'50 cent'})
0.018476791347453808,frozenset({'65daysofstatic'})
0.02794051374493015,frozenset({'[unknown]'})
0.03650292924740874,frozenset({'a perfect circle'})
0.020279405137449302,frozenset({'a tribe called quest'})
0.012618296529968454,frozenset({'a-ha'})
0.021631365479945923,frozenset({'abba'})
0.067598017124831,frozenset({'ac/dc'})
0.010815682739972961,frozenset({'adele'})
0.01216764308246958,frozenset({'adema'})
0.02929247408742677,frozenset({'aerosmith'})
0.017124831004957188,frozenset({'aesop rock'})
0.03064443442992339,frozenset({'afi'})
0.010365029292474088,frozenset({'after forever'})
0.013519603424966201,frozenset({'against me!'})
0.06714736367733214,frozenset({'air'})
0.01892744479495268,frozenset({'akon'})
0.010815682739972961,frozenset({'al green'})
0.02298332582244254,frozenset({'alanis morissette'})
0.013519603424966201,frozenset({'alexisonfire'})
0.010815682739972961,frozenset({'alice cooper'})
0.032897701667417754,frozenset({'alice in chains'})
0.015322217214961695,frozenset({'alicia keys'})
0.02118071203244705,frozenset({'alkaline trio'})
0.015772870662460567,frozenset({'all that remains'})
0.028391167192429023,frozenset({'amon amarth'})
0.023433979269941414,frozenset({'amon tobin'})
0.01757548445245606,frozenset({'amorphis'})
0.014420910319963948,frozenset({'amy macdonald'})
0.046417305092383954,frozenset({'amy winehouse'})
0.021631365479945923,frozenset({'anathema'})
0.013970256872465074,frozenset({'anberlin'})
0.011716989634970707,frozenset({'andrew bird'})
0.013970256872465074,frozenset({'angels & airwaves'})
0.031545741324921134,frozenset({'animal collective'})
0.012618296529968454,frozenset({'anthrax'})
0.017124831004957188,frozenset({'anti-flag'})
0.012618296529968454,frozenset({'antonio vivaldi'})
0.01892744479495268,frozenset({'antony and the johnsons'})
0.05092383956737269,frozenset({'aphex twin'})
0.03830554303740424,frozenset({'apocalyptica'})
0.010365029292474088,frozenset({'apoptygma berzerk'})
0.010815682739972961,frozenset({'apparat'})
0.04821991888237945,frozenset({'arcade fire'})
0.02794051374493015,frozenset({'arch enemy'})
0.015322217214961695,frozenset({'architecture in helsinki'})
0.07120324470482199,frozenset({'arctic monkeys'})
0.01982875168995043,frozenset({'armin van buuren'})
0.017124831004957188,frozenset({'as i lay dying'})
0.014420910319963948,frozenset({'asian dub foundation'})
0.015322217214961695,frozenset({'at the drive-in'})
0.01216764308246958,frozenset({'at the gates'})
0.01757548445245606,frozenset({'atb'})
